Entity,Code_co2,Year,emissions_from_oil,emissions_from_coal,emissions_from_cement,emissions_from_gas,emissions_from_flaring,emissions_from_other_industry,Annual CO2 emissions,Code_pop,population_historical,Caucasian,co2_per_capita
Afghanistan,AFG,1870,,,0.0,,,,0.0,AFG,4101170.0,False,0.0
Afghanistan,AFG,1880,,,0.0,,,,0.0,AFG,4288021.0,False,0.0
Afghanistan,AFG,1890,,,0.0,,,,0.0,AFG,4482635.0,False,0.0
Afghanistan,AFG,1900,,,0.0,,,,0.0,AFG,4707744.0,False,0.0
Afghanistan,AFG,1910,,,0.0,,,,0.0,AFG,5504191.0,False,0.0
Afghanistan,AFG,1920,,,0.0,,,,0.0,AFG,10188845.0,False,0.0
Afghanistan,AFG,1930,,,0.0,,,,0.0,AFG,6626142.0,False,0.0
Afghanistan,AFG,1940,,,0.0,,,,0.0,AFG,6468510.0,False,0.0
Afghanistan,AFG,1950,63203.996,21068.0,0.0,0.0,,,84271.996,AFG,7776182.0,False,0.01083719439694184
Afghanistan,AFG,1960,268758.0,127115.0,18012.0,0.0,,,413885.0,AFG,9035048.0,False,0.045808832448925564
Afghanistan,AFG,1970,671986.0,436974.0,47350.0,216651.0,297436.0,,1670397.0,AFG,11290135.0,False,0.14795190668667824
Afghanistan,AFG,1980,925256.0,315762.0,23284.0,187254.0,304747.0,,1756303.0,AFG,13169312.0,False,0.133363307058106
Afghanistan,AFG,1990,1271408.0,278464.0,45766.0,403040.0,25648.0,,2024326.0,AFG,12045664.0,False,0.16805433058733832
Afghanistan,AFG,2000,787760.0,3664.0,10216.0,223504.0,21984.0,,1047128.0,AFG,20130334.0,False,0.05201741809152297
Afghanistan,AFG,2010,5833088.0,2246032.0,14547.0,271136.0,0.0,,8364803.0,AFG,28284088.0,False,0.2957423622780413
Afghanistan,AFG,2020,7275343.0,4115975.0,60674.0,153937.0,0.0,,11605929.0,AFG,39068978.0,False,0.2970625185025316
Albania,ALB,1940,692496.0,0.0,0.0,0.0,,,692496.0,ALB,1100833.0,True,0.6290654440773487
Albania,ALB,1950,246114.0,43432.0,7180.0,,,,296726.0,ALB,1247854.0,True,0.23778903621737799
Albania,ALB,1960,1575520.0,326096.0,36343.0,84272.0,,,2022231.0,ALB,1649393.0,True,1.2260455816169948
Albania,ALB,1970,2482960.0,891225.0,178255.0,187047.0,,,3739487.0,ALB,2181227.0,True,1.7143960715688922
Albania,ALB,1980,1571856.0,2322976.0,502901.03,773104.0,,,5170837.03,ALB,2735423.0,True,1.8903244690126537
Albania,ALB,1990,2172752.0,2498848.0,383674.0,465328.0,,,5520602.0,ALB,3277964.0,True,1.6841557747431026
Albania,ALB,2000,2839801.0,69531.0,93637.0,21957.0,0.0,,3024926.0,ALB,3166147.0,True,0.9553965750800578
Albania,ALB,2010,3491792.0,428688.0,837737.0,25648.0,0.0,,4783865.0,ALB,2928730.0,True,1.6334264339833307
Albania,ALB,2020,2718688.0,567920.0,1321753.0,102592.0,192.0,,4711145.0,ALB,2871951.0,True,1.6403988090326054
Algeria,DZA,1920,3664.0,18320.0,,0.0,,,21984.0,DZA,5846192.0,False,0.003760396511096454
Algeria,DZA,1930,7328.0,43968.0,32708.998,0.0,,,84004.99799999999,DZA,6530132.0,False,0.012864211320689994
Algeria,DZA,1940,0.0,146560.0,0.0,91600.0,,,238160.0,DZA,7739370.0,False,0.030772530580654496
Algeria,DZA,1950,1740400.0,1883296.0,159909.0,,,,3783605.0,DZA,9018423.0,False,0.41954175358596507
Algeria,DZA,1960,4371152.0,1256752.0,523337.0,,,,6151241.0,DZA,11424930.0,False,0.5384051368367246
Algeria,DZA,1970,6837024.0,970960.0,457920.0,135568.0,6657488.0,,15058960.0,DZA,13783725.0,False,1.0925174435792937
Algeria,DZA,1980,18620448.0,1608496.0,2021667.0,25479456.0,18686400.0,,66416467.0,DZA,18607175.0,False,3.5694008897105554
Algeria,DZA,1990,23204112.0,2942192.0,2988636.0,38908016.0,8694672.0,,76737628.0,DZA,25375816.0,False,3.0240457292092597
Algeria,DZA,2000,26827808.0,1960240.0,3789426.0,38534290.0,14286836.0,,85398600.0,DZA,30903895.0,False,2.7633604113656225
Algeria,DZA,2010,45365410.0,1216486.0,8252310.0,53367830.0,10151224.0,,118353260.0,DZA,36188236.0,False,3.2704898906926547
