Year,Oil,Coal,Gas,"Cement, Flaring & Other Industry"
1810,,39492310.0,,0.0
1820,,50733076.0,,0.0
1830,,88988500.0,,0.0
1840,,118808510.0,,0.0
1850,,196847600.0,,0.0
1860,273469.0,332025000.0,,0.0
1870,3133091.0,532990180.0,,0.0
1880,15363418.0,842692100.0,,172.0
1890,34650424.0,1260252000.0,11688053.0,665.0
1900,67308136.0,1882639600.0,11541600.0,1395.0
1910,144106300.0,2871821800.0,24915200.0,2482602.0
1920,361040500.0,3132615200.0,41685396.0,2496099.0
1930,599795400.0,3216241400.0,104224110.0,37834914.0
1940,901067100.0,3795421700.0,153516830.0,34658012.0
1950,1549885400.0,3881695000.0,353151420.0,145511832.0
1960,3120795400.0,5157614600.0,834559170.0,274041226.0
1970,6799776300.0,5698193400.0,1790807300.0,610347264.0
1980,8949605000.0,7009021000.0,2758970600.0,770927616.0
1990,9244039000.0,8702585000.0,3806152400.0,976212080.0
2000,10270908000.0,9202369000.0,4749870600.0,1287406060.0
2010,11323283000.0,13954141000.0,6227937000.0,1850541600.0
2020,10960689000.0,14266885000.0,7564561000.0,2334391010.0
