Country,GDP,Population,Cantril Ladder Score,Continent,GDP per Capita
United States,27720700000000,343477335,6.7248,North America,80706.0529918226
China,17794800000000,1422584933,5.9727,Asia,12508.778623483424
Germany,4525700000000,84548231,6.7185,Europe,53528.02709733808
Japan,4204490000000,124370947,6.0598,Asia,33806.04635904236
India,3567550000000,1438069596,4.0541,Asia,2480.790922722491
United Kingdom,3380850000000,68682962,6.749,Europe,49223.99823117704
France,3051830000000,66438822,6.609,Europe,45934.43875329397
Italy,2300940000000,59499453,6.3235,Europe,38671.61602309184
Brazil,2173670000000,211140729,6.272,South America,10294.887255030742
Canada,2142470000000,39299105,6.8996,North America,54517.0176267373
Russia,2021420000000,145440500,5.7853,Europe,13898.604584005143
Mexico,1789110000000,129739759,6.678,North America,13789.990160225287
Australia,1728060000000,26451124,7.0569,Oceania,65330.3050562237
South Korea,1712790000000,51748739,6.0579,Asia,33098.19781309067
Spain,1620090000000,47911579,6.4209,Europe,33814.16421278873
Indonesia,1371170000000,281190067,5.5683,Asia,4876.310228981168
Netherlands,1154360000000,18092524,7.3194,Europe,63803.14874806854
Turkey,1118250000000,87270501,4.9753,Asia,12813.608117134563
Saudi Arabia,1067580000000,33264292,6.5935,Asia,32093.87411582366
Switzerland,884940000000,8870561,7.0602,Europe,99761.44688030441
Poland,809201000000,38762844,6.4415,Europe,20875.687036792242
Argentina,646075000000,45538401,6.1881,South America,14187.47663098667
Belgium,644783000000,11712893,6.8942,Europe,55048.99600807418
Sweden,584960000000,10551494,7.3441,Europe,55438.59476203086
Ireland,551395000000,5196630,6.838,Europe,106106.26502175449
Thailand,514969000000,71702435,5.9761,Asia,7182.029452695714
United Arab Emirates,514130000000,10642081,6.7331,Asia,48311.039917850656
Israel,513611000000,9256314,7.3411,Asia,55487.63795178081
Austria,511685000000,9130429,6.9047,Europe,56041.72596928359
Singapore,501428000000,5789090,6.5228,Asia,86616.0311897034
Norway,485311000000,5519167,7.3017,Europe,87931.92885810486
Bangladesh,437415000000,171466990,3.8859,Asia,2551.0157961016284
Philippines,437146000000,114891199,6.0476,Asia,3804.8693355528476
Vietnam,429717000000,100352192,6.043,Asia,4282.08882572291
Denmark,407092000000,5948136,7.5827,Europe,68440.26431137418
Iran,404626000000,90608707,4.9228,Asia,4465.6414752723485
Malaysia,399705000000,35126298,5.9752,Asia,11379.081279786444
Egypt,396002000000,114535772,3.9766,Africa,3457.452576475409
Hong Kong,380812000000,7442734,5.3164,Asia,51165.60661713827
South Africa,380699000000,63212384,5.422,Africa,6022.538241873618
Nigeria,363846000000,227882945,4.8808,Africa,1596.6355007392062
Colombia,363494000000,52321152,5.6951,South America,6947.362321074276
Romania,350776000000,19118479,6.4912,Europe,18347.48465084487
Czech Republic (Czechia),343208000000,10809716,,Europe,31749.95531797505
